origin_name,destination_name
Birmingham New Street,Kings Norton
Kings Norton,University
University,Worcester Foregate Street
Worcester Foregate Street,Bromsgrove
Bromsgrove,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Moor Street,London Marylebone
Marylebone,Oxford Circus
Oxford Circus,Victoria
London Victoria,Gatwick Airport
South Terminal,North Terminal
CPH Lufthavn,Tårnby
Tårnby,Ørestad
Ørestad (Metro),Nørreport (Metro)
Nørreport,Svanemøllen
Trianglen (Metro),Rådhuspladsen (Metro)
Kongens Nytorv (Metro),Marmorkirken (Metro)
Nordre Toldbod (Københavns Havn),Orientkaj
Orientkaj (Metro),Gammel Strand (Metro)
Gammel Strand (Metro),Østerport (Metro)
Østerport,Svanemøllen
Svanemøllen,Østerport
Østerport,Tårnby
Tårnby,København H
København H (Metro),Trianglen (Metro)
Ryparken,København H
Tårnby,CPH Lufthavn
Københavns Lufthavn (Metro),Christianshavn (Metro)
Christianshavn (Metro),Nørreport (Metro)
Kongens Nytorv (Metro),København H (Metro)
København H,Østerport
Østerport,København H
København H,Tårnby
Tårnby,København H
København H,Lyngby
Lyngby,Hillerød
Torvet (Hillerød),Slottet (Hillerød)
Hillerød,Nørreport
Nørreport,Sydhavn
Tårnby,CPH Lufthavn
Københavns Lufthavn (Metro),Nørreport (Metro)
Nørreport,Dybbølsbro
Dybbølsbro,Valby
Ålholm,Vigerslev Allé
København H,Tårnby
Tårnby,Roskilde
Roskilde,København H
Rådhuspladsen (Metro),København H (Metro)
København H,Tårnby
Tårnby,København H
København H,Kildedal
Kildedal,Klampenborg
Klampenborg,København H
København H,Nørreport
Nørreport (Metro),Amager Strand (Metro)
Amager Strand (Metro),Københavns Lufthavn (Metro)
CPH Lufthavn,Tårnby
Tårnby,CPH Lufthavn
North Terminal,South Terminal
Gatwick Airport,Clapham Junction
Clapham Junction,London Waterloo
Waterloo,Marylebone
London Marylebone,Solihull
Kings Norton,Birmingham New Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Moor Street,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Kings Norton,Birmingham New Street
Birmingham Moor Street,London Marylebone
Marylebone,Embankment
Monument,King's Cross St. Pancras
King's Cross St. Pancras,Green Park
Green Park,Waterloo
Bank,Canary Wharf
Canary Wharf,West India Quay
Canary Wharf,Farringdon
Farringdon,Luton
Luton,St Pancras International
London Kings Cross,Finsbury Park
Finsbury Park,Moorgate
London Liverpool Street,Tottenham Court Road
Tottenham Court Road,Farringdon
Farringdon,Luton
Luton,St Pancras International
King's Cross St. Pancras,Oxford Circus
Oxford Circus,Marylebone
Baker Street,Great Portland Street
Euston,Bank
Monument,Embankment
Embankment,Marylebone
London Marylebone,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Walsall,Birmingham New Street
Birmingham New Street,University
University,Birmingham New Street
Town Hall,Bull Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Moor Street,London Marylebone
Marylebone,Embankment
Green Park,Victoria
Victoria,Monument
London Bridge,London Blackfriars
London Blackfriars,St Pancras International
King's Cross St. Pancras,Oxford Circus
Oxford Circus,Marylebone
London Marylebone,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,University
University,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,London Euston
London Euston,Glasgow Central
St Enoch,Govan
Govan,Buchanan Street
Glasgow Central,Ayr
Ayr,Cairnryan (Loch Ryan Port)
Cairnryan (Loch Ryan Port),Belfast Port
Yorkgate,Derry~Londonderry
Lanyon Place,Great Victoria Street
Belfast Port,Cairnryan (Loch Ryan Port)
Cairnryan (Loch Ryan Port),Ayr
Ayr,Glasgow Central
Glasgow Queen Street,Edinburgh
Edinburgh,Newcastle
Manors,St James
Haymarket,Central Station
Monument,North Shields
North Shields,South Shields
South Shields,Pelaw Tyne & Wear Metro
Pelaw Tyne & Wear Metro,Sunderland
Sunderland,Newcastle
Central Station,South Shields
South Shields,North Shields
North Shields,Manors
Newcastle,London Kings Cross
King's Cross St. Pancras,Euston
London Euston,Rugby
Rugby,Birmingham New Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,London Marylebone
Marylebone,Oxford Circus
Charing Cross,Battersea Power Station
Battersea Power Station,Waterloo
London Waterloo,London Waterloo
Waterloo,Baker Street
London Marylebone,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,Shrewsbury
Shrewsbury,Birmingham New Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Shirley
Shirley,Bordesley
St Chads,Five Ways
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,Coventry
Coventry,Birmingham New Street
Birmingham New Street,Kings Norton
Kings Norton,University
University,Cheltenham Spa
Cheltenham Spa,Bristol Temple Meads
Bristol Temple Meads,Gloucester
Gloucester,University
University,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,Coventry
Coventry,Birmingham New Street
Birmingham Snow Hill,Birmingham Moor Street
Corporation Street,Library
Birmingham New Street,University
University,Bournville
Portsmouth & Southsea,Godalming
Godalming,Guildford
